# Pinout for LFE5UM-85F,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
,,,,
,,,,
PADN,DIEPAD,PADX,PADY,CABGA381
166,VSS,-3118.185,-2458.8,GND
167,PL89D,-2934.315,-2506.509,N1
168,PL92A,-3021.061,-2543.067,P1
169,VSSIO6,-3118.185,-2545.794,GND
170,PL92B,-3021.061,-2630.061,P2
171,VCCIO6,-3118.185,-2632.788,VCCIO6
172,PL92C,-3118.185,-2795.193,P3
173,PL92D,-3118.185,-2882.187,P4
174,NC_VCCM,-3118.185,-2969.181,Unused
175,NC_POR,-3118.185,-3081.717,Unused
176,VSSPLL0_LLC,-2905.276,-3351.285,GND
177,VCCPLL0_LLC,-2818.283,-3351.285,VCC
178,VCC,-2731.288,-3351.285,VCC
179,VSS,-2644.294,-3351.285,GND
180,PB4A,-2558.106,-3254.162,R1
181,PB6A,-2517.84,-3167.415,U1
182,VCC,-2517.84,-3351.285,VCC
183,PB4B,-2471.112,-3254.162,T1
184,PB6B,-2430.846,-3167.415,V1
185,VSS,-2430.846,-3351.285,GND
186,PB9A,-2384.118,-3254.162,W1
187,PB11A,-2343.852,-3167.415,V2
188,VSSIO8,-2343.852,-3351.285,GND
189,PB9B,-2297.124,-3254.162,Y2
190,PB11B,-2256.858,-3167.415,W2
191,VCCIO8,-2256.858,-3351.285,VCCIO8
192,PB13A,-2160.306,-3254.162,T2
193,PB15A,-2120.04,-3167.415,R2
194,VSSIO8,-2120.04,-3351.285,GND
195,PB13B,-2073.312,-3254.162,U2
196,PB15B,-2033.046,-3167.415,R3
197,VCCIO8,-2033.046,-3351.285,VCCIO8
198,PB18A,-1986.318,-3254.162,T3
199,INITN,-1946.052,-3167.415,V3
200,VCCAUX,-1946.052,-3351.285,VCCAUX
201,CCLK,-1899.324,-3254.162,U3
202,PROGRAMN,-1859.058,-3167.415,W3
203,VSS,-1859.058,-3351.285,GND
204,DONE,-1812.33,-3254.162,Y3
205,CFG_1,-1772.064,-3167.415,T4
206,VCC,-1772.064,-3351.285,VCC
207,CFG_2,-1725.336,-3254.162,R4
208,CFG_0,-1685.07,-3167.415,U4
209,VSS,-1685.07,-3351.285,GND
210,TDO,-1638.342,-3254.162,V4
211,TCK,-1598.076,-3167.415,T5
212,VSSIO8,-1598.076,-3351.285,GND
213,TDI,-1551.348,-3254.162,R5
214,TMS,-1511.082,-3167.415,U5
215,VCCIO8,-1511.082,-3351.285,VCCIO8
216,VCC,-1464.354,-3254.162,VCC
217,VCC,-1420.704,-3351.285,VCC
218,VSS,-1334.754,-3254.162,GND
219,VSS,-1291.104,-3351.285,GND
220,VCC,-1205.154,-3254.162,VCC
221,VCC,-1161.504,-3351.285,VCC
222,VSSA0_D0CH0,-1046.322,-3270.375,GNDA
223,VCCATX0_D0CH0,-1014.822,-3350.475,VCCA0
224,HDTXP0_D0CH0,-983.322,-3270.375,W4
225,VCCHTX0_D0CH0,-951.822,-3350.475,T7
226,HDTXN0_D0CH0,-920.322,-3270.375,W5
227,VSSA0_D0CH0,-857.322,-3270.375,GNDA
228,VCCARX0_D0CH0,-825.822,-3350.475,VCCA0
229,HDRXP0_D0CH0,-794.322,-3270.375,Y5
230,VCCARX0_D0CH0,-762.822,-3190.275,Unused
231,VCCHRX0_D0CH0,-762.822,-3350.475,T8
232,HDRXN0_D0CH0,-731.322,-3270.375,Y6
233,VSSA0_D0CH0,-668.322,-3270.375,GNDA
234,VSSA1_D0CH1,-605.322,-3270.375,GNDA
235,HDRXP0_D0CH1,-542.322,-3270.375,Y7
236,VCCARX1_D0CH1,-510.822,-3190.275,Unused
237,VCCHRX1_D0CH1,-510.822,-3350.475,T9
238,HDRXN0_D0CH1,-479.322,-3270.375,Y8
239,VCCARX1_D0CH1,-447.822,-3350.475,VCCA0
240,VSSA1_D0CH1,-416.322,-3270.375,GNDA
241,HDTXP0_D0CH1,-353.322,-3270.375,W8
242,VCCHTX1_D0CH1,-321.822,-3350.475,T10
243,HDTXN0_D0CH1,-290.322,-3270.375,W9
244,VCCATX1_D0CH1,-258.822,-3350.475,VCCA0
245,VSSA1_D0CH1,-227.322,-3270.375,GNDA
246,ATSTP_D0,-189.747,-3190.275,W10
247,VCCA_D0,-171.072,-3350.475,VCCA0
248,ATSTN_D0,-117.747,-3190.275,W11
249,VSSA_D0,-99.072,-3350.475,GNDA
250,VSSA_D0,-27.072,-3350.475,GNDA
251,REFCLKP_D0,-8.397,-3190.275,Y11
252,VCCA25_D0,44.928,-3350.475,VCCAUXA0
253,REFCLKN_D0,63.603,-3190.275,Y12
254,VSSA0_D1CH0,132.678,-3270.375,GNDA
255,VCCATX0_D1CH0,164.178,-3350.475,VCCA1
256,HDTXP0_D1CH0,195.678,-3270.375,W13
257,VCCHTX0_D1CH0,227.178,-3350.475,T11
258,HDTXN0_D1CH0,258.678,-3270.375,W14
259,VSSA0_D1CH0,321.678,-3270.375,GNDA
260,VCCARX0_D1CH0,353.178,-3350.475,VCCA1
261,HDRXP0_D1CH0,384.678,-3270.375,Y14
262,VCCARX0_D1CH0,416.178,-3190.275,Unused
263,VCCHRX0_D1CH0,416.178,-3350.475,T12
264,HDRXN0_D1CH0,447.678,-3270.375,Y15
265,VSSA0_D1CH0,510.678,-3270.375,GNDA
266,VSSA1_D1CH1,573.678,-3270.375,GNDA
267,HDRXP0_D1CH1,636.678,-3270.375,Y16
268,VCCARX1_D1CH1,668.178,-3190.275,Unused
269,VCCHRX1_D1CH1,668.178,-3350.475,T13
270,HDRXN0_D1CH1,699.678,-3270.375,Y17
271,VCCARX1_D1CH1,731.178,-3350.475,VCCA1
272,VSSA1_D1CH1,762.678,-3270.375,GNDA
273,HDTXP0_D1CH1,825.678,-3270.375,W17
274,VCCHTX1_D1CH1,857.178,-3350.475,T14
275,HDTXN0_D1CH1,888.678,-3270.375,W18
276,VCCATX1_D1CH1,920.178,-3350.475,VCCA1
277,VSSA1_D1CH1,951.678,-3270.375,GNDA
278,ATSTP_D1,989.253,-3190.275,Unused
279,VCCA_D1,1007.928,-3350.475,VCCA1
280,ATSTN_D1,1061.253,-3190.275,Unused
281,VSSA_D1,1079.928,-3350.475,GNDA
282,VSSA_D1,1151.928,-3350.475,GNDA
283,REFCLKP_D1,1170.603,-3190.275,Y19
284,VCCA25_D1,1223.928,-3350.475,VCCAUXA1
285,REFCLKN_D1,1242.603,-3190.275,W20
286,VCC,1310.292,-3254.162,VCC
287,VCC,1353.942,-3351.285,VCC
288,VSS,1438.092,-3254.162,GND
289,VSS,1481.742,-3351.285,GND
290,PB96A,1525.086,-3254.162,Unused
291,PB98A,1565.352,-3167.415,Unused
292,VCC,1565.352,-3351.285,VCC
293,PB96B,1612.08,-3254.162,Unused
294,PB98B,1652.346,-3167.415,Unused
295,VSS,1652.346,-3351.285,GND
296,PB101A,1699.074,-3254.162,Unused
297,PB103A,1739.34,-3167.415,Unused
298,VSSIO4,1739.34,-3351.285,GND
299,PB101B,1786.068,-3254.162,Unused
300,PB103B,1826.334,-3167.415,Unused
301,VCCIO4,1826.334,-3351.285,VCC
302,PB105A,1894.212,-3254.162,Unused
303,PB107A,1934.478,-3167.415,Unused
304,VSSIO4,1934.478,-3351.285,GND
305,PB105B,1981.206,-3254.162,Unused
306,PB107B,2021.472,-3167.415,Unused
307,VCCIO4,2021.472,-3351.285,VCC
308,PB110A,2068.2,-3254.162,Unused
309,PB112A,2108.466,-3167.415,Unused
310,VCCAUX,2108.466,-3351.285,VCCAUX
311,PB110B,2155.194,-3254.162,Unused
312,PB112B,2195.46,-3167.415,Unused
313,VSS,2195.46,-3351.285,GND
314,PB114A,2266.272,-3254.162,Unused
315,PB116A,2306.538,-3167.415,Unused
316,VCC,2306.538,-3351.285,VCC
317,PB114B,2353.266,-3254.162,Unused
318,PB116B,2393.532,-3167.415,Unused
319,VSS,2393.532,-3351.285,GND
320,PB119A,2440.26,-3254.162,Unused
321,PB121A,2480.526,-3167.415,Unused
322,VSSIO4,2480.526,-3351.285,GND
323,PB119B,2527.254,-3254.162,Unused
324,PB121B,2567.52,-3167.415,Unused
325,VCCIO4,2567.52,-3351.285,VCC
326,VCC,2678.458,-3254.162,VCC
327,VCCPLL0_LRC,2722.109,-3351.285,VCC
328,VSS,2806.258,-3254.162,GND
329,VSSPLL0_LRC,2849.909,-3350.385,GND
330,NC17,3118.185,-3081.717,Unused
331,NC18,3118.185,-2969.181,Unused
332,PR92D,3118.185,-2882.187,T17
333,PR92C,3118.185,-2795.193,U16
334,VCCIO3,3118.185,-2632.788,VCCIO3
335,PR92B,3021.061,-2630.061,U17
336,VSSIO3,3118.185,-2545.794,GND
337,PR92A,3021.061,-2543.067,U18
338,PR89D,2934.315,-2506.509,T18
339,VSS,3118.185,-2458.8,GND
340,PR89B,3021.061,-2456.073,R18
341,PR89C,2934.315,-2419.515,U19
342,VCC,3118.185,-2371.806,VCC
343,PR89A,3021.061,-2369.079,T19
344,PR86D,2934.315,-2334.897,U20
345,VSS,3118.185,-2287.188,GND
346,PR86B,3021.061,-2284.461,R20
347,PR86C,2934.315,-2247.903,T20
348,VCCAUX,3118.185,-2200.194,VCCAUX
349,PR86A,3021.061,-2197.467,P20
350,PR83D,2934.315,-2160.909,P18
351,VCCIO3,3118.185,-2113.2,VCCIO3
352,PR83B,3021.061,-2110.473,N20
353,PR83C,2934.315,-2073.915,P19
354,VSSIO3,3118.185,-2026.206,GND
355,PR83A,3021.061,-2023.479,N19
356,PR80D,2934.315,-1923.669,Unused
357,VCCIO3,3118.185,-1875.96,VCCIO3
358,PR80B,3021.061,-1873.233,Unused
359,PR80C,2934.315,-1836.675,Unused
360,VSSIO3,3118.185,-1788.966,GND
361,PR80A,3021.061,-1786.239,Unused
362,PR77D,2934.315,-1749.681,Unused
363,VSS,3118.185,-1701.972,GND
364,PR77B,3021.061,-1699.245,Unused
365,PR77C,2934.315,-1662.687,Unused
366,VCC,3118.185,-1614.978,VCC
367,PR77A,3021.061,-1612.251,T16
368,PR74D,2934.315,-1578.069,Unused
369,VSS,3118.185,-1530.36,GND
370,PR74B,3021.061,-1527.633,Unused
371,PR74C,2934.315,-1491.075,Unused
372,VCCAUX,3118.185,-1443.366,VCCAUX
373,PR74A,3021.061,-1440.639,Unused
374,PR71D,2934.315,-1404.081,Unused
375,VCCIO3,3118.185,-1356.372,VCCIO3
376,PR71B,3021.061,-1353.645,Unused
377,PR71C,2934.315,-1317.087,Unused
378,VSSIO3,3118.185,-1269.378,GND
379,PR71A,3021.061,-1266.651,Unused
380,PR68D,2934.315,-1156.851,Unused
381,VCCIO3,3118.185,-1109.142,VCCIO3
382,PR68B,3021.061,-1106.415,Unused
383,PR68C,2934.315,-1069.857,Unused
384,VSSIO3,3118.185,-1022.148,GND
385,PR68A,3021.061,-1019.421,Unused
386,PR65D,2934.315,-982.863,Unused
387,VSS,3118.185,-935.154,GND
388,PR65B,3021.061,-932.427,Unused
389,PR65C,2934.315,-895.869,Unused
390,VCC,3118.185,-848.16,VCC
391,PR65A,3021.061,-845.433,Unused
392,PR62D,2934.315,-811.251,Unused
393,VSS,3118.185,-763.542,GND
394,PR62B,3021.061,-760.815,Unused
395,PR62C,2934.315,-724.257,Unused
396,VCCAUX,3118.185,-676.548,VCCAUX
397,PR62A,3021.061,-673.821,Unused
398,PR59D,2934.315,-637.263,Unused
399,VCCIO3,3118.185,-589.554,VCCIO3
400,PR59B,3021.061,-586.827,Unused
401,PR59C,2934.315,-550.269,Unused
402,VSSIO3,3118.185,-502.56,GND
403,PR59A,3021.061,-499.833,Unused
404,PR56D,2934.315,-453.222,R17
405,VCCIO3,3118.185,-405.513,VCCIO3
406,PR56B,3021.061,-402.786,P16
407,PR56C,2934.315,-366.228,R16
408,VSSIO3,3118.185,-318.519,GND
409,PR56A,3021.061,-315.792,N17
410,PR53D,2934.315,-279.234,P17
411,VSS,3118.185,-231.525,GND
412,PR53B,3021.061,-228.798,M17
413,PR53C,2934.315,-192.24,N18
414,VCC,3118.185,-144.531,VCC
415,PR53A,3021.061,-141.804,N16
416,PR50D,2934.315,-107.622,M18
417,VSS,3118.185,-59.913,GND
418,PR50B,3021.061,-57.186,L17
419,PR50C,2934.315,-20.628,L18
420,VCCAUX,3118.185,27.081,VCCAUX
421,PR50A,3021.061,29.808,L16
422,PR47D,2934.315,66.366,M19
423,VCCIO3,3118.185,114.075,VCCIO3
424,PR47B,3021.061,116.802,M20
425,PR47C,2934.315,153.36,L19
426,VSSIO3,3118.185,201.069,GND
427,PR47A,3021.061,203.796,L20
428,PR44D,2934.315,375.606,K20
429,VCCIO2,3118.185,423.315,VCCIO2
430,PR44B,3021.061,426.042,K19
431,PR44C,2934.315,462.6,J20
432,VSSIO2,3118.185,510.309,GND
433,PR44A,3021.061,513.036,J19
434,PR41D,2934.315,549.594,K18
435,VSS,3118.185,597.303,GND
436,PR41B,3021.061,600.03,H20
437,PR41C,2934.315,636.588,J18
438,VCC,3118.185,684.297,VCC
439,PR41A,3021.061,687.024,G19
440,PR38D,2934.315,721.206,G20
441,VSS,3118.185,768.915,GND
442,PR38B,3021.061,771.642,F19
443,PR38C,2934.315,808.2,F20
444,VCCAUX,3118.185,855.909,VCCAUX
445,PR38A,3021.061,858.636,E20
446,PR35D,2934.315,895.194,E19
447,VCCIO2,3118.185,942.903,VCCIO2
448,PR35B,3021.061,945.63,D19
449,PR35C,2934.315,982.188,D20
450,VSSIO2,3118.185,1029.897,GND
451,PR35A,3021.061,1032.624,C20
452,PR32D,2934.315,1079.235,Unused
453,VCCIO2,3118.185,1126.944,VCCIO2
454,PR32B,3021.061,1129.671,Unused
455,PR32C,2934.315,1166.229,Unused
456,VSSIO2,3118.185,1213.938,GND
457,PR32A,3021.061,1216.665,Unused
458,PR29D,2934.315,1253.223,Unused
459,VSS,3118.185,1300.932,GND
460,PR29B,3021.061,1303.659,K17
461,PR29C,2934.315,1340.217,Unused
462,VCC,3118.185,1387.926,VCC
463,PR29A,3021.061,1390.653,K16
464,PR26D,2934.315,1424.835,Unused
465,VSS,3118.185,1472.544,GND
466,PR26B,3021.061,1475.271,Unused
467,PR26C,2934.315,1511.829,Unused
468,VCCAUX,3118.185,1559.538,VCCAUX
469,PR26A,3021.061,1562.265,Unused
470,PR23D,2934.315,1598.823,Unused
471,VCCIO2,3118.185,1646.532,VCCIO2
472,PR23B,3021.061,1649.259,Unused
473,PR23C,2934.315,1685.817,Unused
474,VSSIO2,3118.185,1733.526,GND
475,PR23A,3021.061,1736.253,Unused
476,PR20D,2934.315,1846.053,J16
477,VCCIO2,3118.185,1893.762,VCCIO2
478,PR20B,3021.061,1896.489,H17
479,PR20C,2934.315,1933.047,J17
480,VSSIO2,3118.185,1980.756,GND
481,PR20A,3021.061,1983.483,H18
482,PR17D,2934.315,2020.041,H16
483,VSS,3118.185,2067.75,GND
484,PR17B,3021.061,2070.477,G18
485,PR17C,2934.315,2107.035,G16
486,VCC,3118.185,2154.744,VCC
487,PR17A,3021.061,2157.471,F17
488,PR14D,2934.315,2191.653,F18
489,VSS,3118.185,2239.362,GND
490,PR14B,3021.061,2242.089,E17
491,PR14C,2934.315,2278.647,E18
492,VCCAUX,3118.185,2326.356,VCCAUX
493,PR14A,3021.061,2329.083,D18
494,PR11D,2934.315,2365.641,F16
495,VCCIO2,3118.185,2413.35,VCCIO2
496,PR11C,2934.315,2452.635,E16
497,VSSIO2,3118.185,2500.344,GND
498,PR11B,3118.185,2635.074,D17
499,PR11A,3118.185,2722.068,C18
500,NC24,3118.185,2809.062,Unused
501,NC25,3118.185,2896.056,Unused
502,NC26,3118.185,2983.05,Unused
503,NC27,3118.185,3070.044,Unused
504,NC29,3118.185,3180.654,Unused
505,VSSPLL0_URC,2895.016,3351.285,GND
506,VCCPLL0_URC,2806.681,3351.285,VCC
507,VSS,2719.265,3351.285,GND
508,VCC,2632.27,3351.285,VCC
509,PT121B,2550.744,3167.415,B20
510,VCCIO1,2550.744,3351.285,VCCIO1
511,PT119B,2510.478,3254.162,B19
512,PT121A,2463.75,3167.415,A19
513,VSSIO1,2463.75,3351.285,GND
514,PT119A,2423.484,3254.162,A18
515,PT116B,2376.756,3167.415,B18
516,VSS,2376.756,3351.285,GND
517,PT114B,2336.49,3254.162,C17
518,PT116A,2289.762,3167.415,A17
519,VCC,2289.762,3351.285,VCC
520,PT114A,2249.496,3254.162,B17
521,PT112B,2149.668,3167.415,D16
522,VSS,2149.668,3351.285,GND
523,PT110B,2109.402,3254.162,B16
524,PT112A,2062.674,3167.415,C16
525,VCCAUX,2062.674,3351.285,VCCAUX
526,PT110A,2022.408,3254.162,A16
527,PT107B,1975.68,3167.415,E15
528,VCCIO1,1975.68,3351.285,VCCIO1
529,PT105B,1935.414,3254.162,C15
530,PT107A,1888.686,3167.415,D15
531,VSSIO1,1888.686,3351.285,GND
532,PT105A,1848.42,3254.162,B15
533,PT103B,1780.542,3167.415,Unused
534,VCCIO1,1780.542,3351.285,VCCIO1
535,PT101B,1740.276,3254.162,Unused
536,PT103A,1693.548,3167.415,A15
537,VSSIO1,1693.548,3351.285,GND
538,PT101A,1653.282,3254.162,Unused
539,PT98B,1606.554,3167.415,Unused
540,VSS,1606.554,3351.285,GND
541,PT96B,1566.288,3254.162,Unused
542,PT98A,1519.56,3167.415,Unused
543,VCC,1519.56,3351.285,VCC
544,PT96A,1479.294,3254.162,Unused
545,PT94B,1432.566,3167.415,Unused
546,VSS,1432.566,3351.285,GND
547,PT92B,1392.3,3254.162,Unused
548,PT94A,1345.572,3167.415,Unused
549,VCCAUX,1345.572,3351.285,VCCAUX
550,PT92A,1305.306,3254.162,Unused
551,PT89B,1258.578,3167.415,Unused
552,VCCIO1,1258.578,3351.285,VCCIO1
553,PT87B,1218.312,3254.162,Unused
554,PT89A,1171.584,3167.415,Unused
555,VSSIO1,1171.584,3351.285,GND
556,PT87A,1131.318,3254.162,Unused
557,PT85B,1019.34,3167.415,E14
558,VCCIO1,1019.34,3351.285,VCCIO1
559,PT83B,979.074,3254.162,C14
560,PT85A,932.346,3167.415,D14
561,VSSIO1,932.346,3351.285,GND
562,PT83A,892.08,3254.162,A14
563,PT80B,845.352,3167.415,E13
564,VSS,845.352,3351.285,GND
565,PT78B,805.086,3254.162,C13
566,PT80A,758.358,3167.415,D13
567,VCC,758.358,3351.285,VCC
568,PT78A,718.092,3254.162,B13
569,PT76B,657.527,3167.415,A13
570,VCCIO1,657.527,3351.285,VCCIO1
571,PT74B,617.261,3254.162,E12
572,PT76A,570.533,3167.415,A12
573,VSSIO1,570.533,3351.285,GND
574,PT74A,530.266,3254.162,D12
575,PT71B,483.538,3167.415,C12
576,VSS,483.538,3351.285,GND
577,PT69B,443.272,3254.162,E11
578,PT71A,396.545,3167.415,B12
579,VCC,396.545,3351.285,VCC
580,PT69A,356.279,3254.162,D11
581,VSS,232.884,3351.285,GND
582,VCC,142.884,3351.285,VCC
583,PT65B,47.178,3167.415,C11
584,VCCIO0,47.178,3351.285,VCCIO0
585,PT63B,6.912,3254.162,A11
586,PT65A,-39.816,3167.415,B11
587,VSSIO0,-39.816,3351.285,GND
588,PT63A,-80.082,3254.162,A10
589,PT60B,-126.81,3167.415,B10
590,VSS,-126.81,3351.285,GND
591,PT58B,-167.076,3254.162,C10
592,PT60A,-213.804,3167.415,A9
593,VCC,-213.804,3351.285,VCC
594,PT58A,-254.07,3254.162,B9
595,PT56B,-370.08,3167.415,E10
596,VSS,-370.08,3351.285,GND
597,PT54B,-410.346,3254.162,Unused
598,PT56A,-457.074,3167.415,D10
599,VCCAUX,-457.074,3351.285,VCCAUX
600,PT54A,-497.34,3254.162,C9
601,PT51B,-544.068,3167.415,Unused
602,VCCIO0,-544.068,3351.285,VCCIO0
603,PT49B,-584.334,3254.162,Unused
604,PT51A,-631.062,3167.415,Unused
605,VSSIO0,-631.062,3351.285,GND
606,PT49A,-671.328,3254.162,Unused
607,PT47B,-718.056,3167.415,Unused
608,VCCIO0,-718.056,3351.285,VCCIO0
609,PT45B,-758.322,3254.162,Unused
610,PT47A,-805.05,3167.415,Unused
611,VSSIO0,-805.05,3351.285,GND
612,PT45A,-845.316,3254.162,Unused
613,PT42B,-892.044,3167.415,Unused
